# ./cyclops -w STRIDED_ARRAY -m TASK_CLOCK_NS -u 5 -r 3 -s array-size-kib=10:2800:20 -p repeats=100
array-size-kib,CPU_CYCLES:MIN,CPU_CYCLES:MAX,CPU_CYCLES:MEDIAN,INSTRUCTIONS:MIN,INSTRUCTIONS:MAX,INSTRUCTIONS:MEDIAN,TASK_CLOCK_NS:MIN,TASK_CLOCK_NS:MAX,TASK_CLOCK_NS:MEDIAN,
350,16701088.000000,16717930.000000,16716614.000000350,2800665.000000,2800666.000000,2800666.000000350,6715219.000000,6724285.000000,6719171.000000
370,18333848.000000,18339518.000000,18334109.000000370,2960666.000000,2960667.000000,2960666.000000370,7369755.000000,7374644.000000,7370095.000000
390,20072361.000000,20092741.000000,20072908.000000390,3120667.000000,3120667.000000,3120667.000000390,8069157.000000,8086257.000000,8069433.000000
410,21216610.000000,21234758.000000,21229403.000000410,3280667.000000,3280668.000000,3280668.000000410,8527500.000000,8541559.000000,8537380.000000
430,22742869.000000,22767384.000000,22760565.000000430,3440668.000000,3440668.000000,3440668.000000430,9143907.000000,9152187.000000,9149460.000000
450,24284381.000000,24292204.000000,24286556.000000450,3600668.000000,3600669.000000,3600669.000000450,9764095.000000,9766444.000000,9764329.000000
470,25612962.000000,25629882.000000,25624408.000000470,3760669.000000,3760670.000000,3760669.000000470,10295660.000000,10308021.000000,10302604.000000
490,27273630.000000,27274928.000000,27274052.000000490,3920670.000000,3920670.000000,3920670.000000490,10964523.000000,10971536.000000,10965606.000000
510,28704194.000000,28720132.000000,28709837.000000510,4080670.000000,4080671.000000,4080671.000000510,11539920.000000,11546775.000000,11543372.000000
530,30051647.000000,30085275.000000,30063475.000000530,4240671.000000,4240672.000000,4240671.000000530,12083616.000000,12096558.000000,12084995.000000
550,31693590.000000,31707465.000000,31704900.000000550,4400671.000000,4400672.000000,4400672.000000550,12739399.000000,12747032.000000,12746733.000000
570,33389350.000000,33404247.000000,33395942.000000570,4560672.000000,4560673.000000,4560672.000000570,13420754.000000,13429626.000000,13425683.000000
590,34780979.000000,34815412.000000,34799266.000000590,4720673.000000,4720673.000000,4720673.000000590,13986869.000000,13996836.000000,13988088.000000
610,36263104.000000,36274668.000000,36265431.000000610,4880673.000000,4880674.000000,4880674.000000610,14577731.000000,14583571.000000,14583367.000000
